Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C)
08-09-1999,2.2,1.9,8.5,0.9,0.95,28,24.77777778
22-09-1999,0,1.9,7.6,0.5,1.65,18,-17.77777778
22-09-1999,1,3.7,7.8,0.8,0.8,18,15.55555556
15-10-1999,0.1,5.65,7.3,0.6,0.8,20,-17.77777778
15-10-1999,0,3.25,7.3,0.55,1.55,17,-17.77777778
15-10-1999,2,4.8,5.7,0.42,0.5,16,18.33333333
15-10-1999,0.1,5.5,6.6,0.55,0.55,19,-17.77777778
15-10-1999,1,4.7,7,0.3,0.3,17,-17.77777778
27-10-1999,0,3.7,7.7,0.55,0.55,43,22.22222222
27-10-1999,0.3,4.3,8.6,0.5,0.5,24.5,-17.77777778
27-10-1999,0.4,3.4,7.4,0.95,1.35,42.5,22.22222222
27-10-1999,,,7.7,0.25,0.25,,22.22222222
10-11-1999,0,6.7,7.6,0.65,0.95,18,-17.77777778
10-11-1999,0.2,10,7.8,0.6,0.6,17,-17.77777778
10-11-1999,0,6.5,8,1.05,1.5,15,15.55555556
10-11-1999,1,6.3,7.4,0.4,0.4,16,-17.77777778
10-11-1999,1,7.5,8.1,5.5,5.5,14,15.55555556
30-11-1999,0,6.45,8.8,1.15,1.35,,2.888888889
16-12-1999,0,7.8,8.9,0.8,1.4,11,9.444444444
16-12-1999,,4.3,7.9,0.7,0.7,,10
16-12-1999,,4.7,8.2,0.6,0.8,,11.11111111
16-12-1999,,3.25,7.9,0.21,0.21,,10.55555556
16-12-1999,1,8.7,9.1,0.5,0.85,11,8.888888889
30-12-1999,0.1,6.1,7,0.25,0.45,5,5
30-12-1999,1,7.8,6.9,0.65,0.85,8,6
30-12-1999,0,8.25,8,1.1,1.4,5,5
30-12-1999,0.1,7.3,6.9,0.7,0.7,5,5
30-12-1999,0.2,6.1,6.9,0.25,0.25,7,5
02-02-2000,1,5.9,6.9,0.65,0.81,4,7.222222222
02-02-2000,0,7.1,7.2,1.4,1.4,4,7.222222222
02-02-2000,1.5,6.1,7.2,0.05,0.4,3,6.111111111
02-02-2000,1,6.4,7.1,0.35,0.35,5,7.777777778
17-02-2000,1,,7.5,0.15,0.35,10,6.111111111
17-02-2000,0.08,,8,0.95,1.05,9,6.111111111
17-02-2000,1,,7.6,0.85,0.85,9.9,6.111111111
17-02-2000,1.2,,7.8,0.4,0.4,10,6.111111111
17-02-2000,0,,8.5,1.45,1.45,9.5,6.111111111
29-02-2000,1.2,9,7,0.25,0.35,,-8.333333333
29-02-2000,1.2,,7.8,0.37,0.37,14,14.44444444
29-02-2000,0.9,,7.9,0.85,0.85,16,15.55555556
29-02-2000,0,6.9,7,0.9,0.95,14,16.66666667
29-02-2000,1.5,5,8.1,0.9,1.1,15,14.44444444
13-03-2000,1,,8.6,0.7,0.83,14,7.222222222
13-03-2000,0,,8.4,0.85,0.95,14,7.222222222
13-03-2000,1.5,10,7.8,0.3,0.3,12.5,8.888888889
13-03-2000,1,,7.5,0.85,0.88,14,8.888888889
13-03-2000,1.5,9.75,8.6,0.45,0.5,12,7.222222222
03-04-2000,0,7.4,8.6,1.1,1.35,20,-17.77777778
03-04-2000,1.5,,7,0.35,0.35,21,-17.77777778
03-04-2000,1,,8.4,0.7,0.9,21,-17.77777778
03-04-2000,1.5,7.6,9.1,0.3,0.7,18,-17.77777778
03-04-2000,1,,7,0.55,1.05,19,-17.77777778
01-05-2000,0,,7.6,1.1,1.6,19.5,23.88888889
01-05-2000,0.5,3.6,7.1,0.9,1,23,23.88888889
01-05-2000,1,3.5,7.5,0.15,0.15,25.5,23.88888889
01-05-2000,1,4.1,7.9,0.3,0.65,19.5,23.88888889
01-05-2000,0.5,,7.8,0.6,0.6,,23.88888889
15-05-2000,1.2,8,8.7,0.4,0.45,23,21.66666667
15-05-2000,0,,8.3,0.65,1.55,27,21.66666667
